"filename", "language", "XML", "C#", "Markdown", "JSON", "comment", "blank", "total"
"d:\Working\MlkAdmin\2_Application\Interfaces\Managers\IDynamicMessageManager.cs", "C#", 0, 6, 0, 0, 0, 2, 8
"d:\Working\MlkAdmin\2_Application\Interfaces\Managers\IGuildMembersManager.cs", "C#", 0, 5, 0, 0, 0, 3, 8
"d:\Working\MlkAdmin\2_Application\Interfaces\Services\IGuildChannelsService.cs", "C#", 0, 9, 0, 0, 0, 3, 12
"d:\Working\MlkAdmin\2_Application\Interfaces\Services\IGuildInitializationService.cs", "C#", 0, 5, 0, 0, 0, 2, 7
"d:\Working\MlkAdmin\2_Application\Interfaces\Services\IGuildMessagesService.cs", "C#", 0, 6, 0, 0, 0, 3, 9
"d:\Working\MlkAdmin\2_Application\Interfaces\Services\IGuildRolesService.cs", "C#", 0, 9, 0, 0, 0, 2, 11
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Data\Jsons\GuildCategories.json", "JSON", 0, 0, 0, 34, 0, 1, 35
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Data\Jsons\GuildChannels.json", "JSON", 0, 0, 0, 104, 0, 0, 104
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Data\Jsons\GuildConfiguration.json", "JSON", 0, 0, 0, 13, 0, 0, 13
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Data\Jsons\GuildDynamicMessages.json", "JSON", 0, 0, 0, 23, 0, 0, 23
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Data\Jsons\GuildEmotes.json", "JSON", 0, 0, 0, 11, 0, 1, 12
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Data\Jsons\GuildPictures.json", "JSON", 0, 0, 0, 17, 0, 0, 17
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Data\Jsons\GuildRoles.json", "JSON", 0, 0, 0, 165, 0, 0, 165
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Models\Json\CategoriesJModel.cs", "C#", 0, 98, 0, 0, 0, 27, 125
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Models\Json\ChannelsJModel.cs", "C#", 0, 311, 0, 0, 0, 82, 393
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Models\Json\ConfigurationJModel.cs", "C#", 0, 30, 0, 0, 0, 10, 40
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Models\Json\DynamicMessagesJModel.cs", "C#", 0, 55, 0, 0, 0, 16, 71
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Models\Json\EmotesJModel.cs", "C#", 0, 25, 0, 0, 0, 9, 34
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Models\Json\PicturesJModel.cs", "C#", 0, 37, 0, 0, 0, 15, 52
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Models\Json\RolesJModel.cs", "C#", 0, 8, 0, 0, 0, 6, 14
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonCategoriesProvider.cs", "C#", 0, 11, 0, 0, 0, 2, 13
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonChannelsProvider.cs", "C#", 0, 20, 0, 0, 0, 2, 22
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonConfigurableProvider.cs", "C#", 0, 6, 0, 0, 0, 2, 8
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonDiscordConfigProvider.cs", "C#", 0, 8, 0, 0, 0, 2, 10
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonDynamicMessageProvider.cs", "C#", 0, 9, 0, 0, 0, 3, 12
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonEmotesProvider.cs", "C#", 0, 9, 0, 0, 0, 2, 11
"d:\Working\MlkAdmin\3_Infrastructure\Configuration\Providers\Jsons\Abstraction\IJsonPicturesProvider.cs", "C#", 0, 14, 0, 0, 0, 3, 17
